State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Haryana,Mahendragarh-Narnaul,Narnaul,Cucumbar(Kheera),Other,FAQ,09/03/2024,2000,3000,2500
Haryana,Mahendragarh-Narnaul,Narnaul,Ginger(Green),"Green Ginger",FAQ,09/03/2024,8000,10000,9000
Haryana,Mahendragarh-Narnaul,Narnaul,"Long Melon(Kakri)",Other,FAQ,09/03/2024,2000,2000,2000
Haryana,Mahendragarh-Narnaul,Narnaul,"Tender Coconut",Other,Medium,09/03/2024,2500,2500,2500
Haryana,Mahendragarh-Narnaul,Narnaul,Tinda,Other,FAQ,09/03/2024,1600,2500,1800
Haryana,Mewat,FerozpurZirkha(Nagina),Carrot,Other,FAQ,09/03/2024,800,1200,1000
Haryana,Mewat,FerozpurZirkha(Nagina),Cauliflower,Other,FAQ,09/03/2024,1500,1700,1600
Haryana,Mewat,Nuh,Raddish,Other,FAQ,09/03/2024,500,700,500
Haryana,Mewat,Nuh,Spinach,Spinach,FAQ,09/03/2024,500,500,500
Haryana,Mewat,Nuh,Tomato,Other,FAQ,09/03/2024,1000,1500,1500
Haryana,Mewat,Punhana,Cauliflower,Other,FAQ,09/03/2024,2000,2000,2000
Haryana,Mewat,Punhana,Grapes,Other,Medium,09/03/2024,3000,3000,3000
Haryana,Mewat,Punhana,Onion,Other,FAQ,09/03/2024,2000,2000,2000
Haryana,Panipat,Samalkha,Capsicum,Capsicum,FAQ,09/03/2024,5000,5000,5000
Haryana,Panipat,Samalkha,Cucumbar(Kheera),Cucumbar,FAQ,09/03/2024,2000,2000,2000
Haryana,Panipat,Samalkha,Raddish,Other,FAQ,09/03/2024,500,1000,1000
Haryana,Panipat,Samalkha,Tomato,Local,FAQ,09/03/2024,1500,1500,1500
Haryana,Rewari,Rewari,Apple,Apple,Medium,09/03/2024,3000,15000,9000
Haryana,Rewari,Rewari,Tomato,Other,FAQ,09/03/2024,500,2000,1250
"Jammu and Kashmir",Anantnag,"Ashahipora (Anantnagh)","French Beans (Frasbean)","French Beans (Frasbean)",FAQ,09/03/2024,4500,5000,4750
"Jammu and Kashmir",Anantnag,"Ashahipora (Anantnagh)","Karbuja(Musk Melon)",Other,Large,09/03/2024,4500,5000,4750
"Jammu and Kashmir",Anantnag,"Ashahipora (Anantnagh)","Peas cod",Other,FAQ,09/03/2024,4500,5000,4750
"Jammu and Kashmir",Anantnag,"Ashahipora (Anantnagh)",Pomegranate,Other,Large,09/03/2024,8000,11000,9500
"Jammu and Kashmir",Anantnag,"Ashahipora (Anantnagh)",Potato,Local,FAQ,09/03/2024,1500,1600,1550
"Jammu and Kashmir",Anantnag,"Ashahipora (Anantnagh)",Turnip,Turnip,FAQ,09/03/2024,1500,2000,1750
"Jammu and Kashmir",Kathua,Kathua,Apple,Delicious,Medium,09/03/2024,6000,7000,6500
"Jammu and Kashmir",Kathua,Kathua,Banana,Other,Medium,09/03/2024,3000,3400,3200
"Jammu and Kashmir",Kathua,Kathua,Cabbage,Other,FAQ,09/03/2024,1300,1500,1400
"Jammu and Kashmir",Kathua,Kathua,Capsicum,Other,FAQ,09/03/2024,5500,6000,5750
"Jammu and Kashmir",Kathua,Kathua,Guava,Other,Medium,09/03/2024,6000,8000,7000
